stationId,locationId,facilityType,station_name,address,device_count,open_time,update_time
129465,461655,3,高新区科学大道·交直流充电站1号,河南省郑州市高新区科学大道,6,00:00-24:00,2019/7/26
131897,566549,3,二七区嵩山路·交直流充电站1号,河南省郑州市二七区嵩山路,4,00:00-24:00,2019/7/26
134427,620906,3,郑东新区东风东路·交直流充电站1号,河南省郑州市郑东新区东风东路,1,00:00-24:00,2019/7/26
191826,481066,2,经开区航海东路·直流充电站1号,河南省郑州市经开区航海东路,2,00:00-24:00,2019/7/26
200695,202527,3,中原区建设路·交直流充电站1号,河南省郑州市中原区建设路,2,00:00-24:00,2019/7/26
207262,928191,3,郑东新区金水东路·交直流充电站1号,河南省郑州市郑东新区金水东路,13,00:00-24:00,2019/7/26
219054,814002,2,金水区北三环·直流充电站1号,河南省郑州市金水区北三环,11,00:00-24:00,2019/7/26
228137,503205,3,上街区中心路·交直流充电站1号,河南省郑州市上街区中心路,17,00:00-24:00,2019/7/26
236379,928191,3,郑东新区金水东路·交直流充电站2号,河南省郑州市郑东新区金水东路,4,00:00-24:00,2019/7/26
236840,620906,3,郑东新区东风东路·交直流充电站2号,河南省郑州市郑东新区东风东路,1,00:00-24:00,2019/7/26
237105,948590,4,高新区梧桐街·超充充电站1号,河南省郑州市高新区梧桐街,7,00:00-24:00,2019/7/26
250527,976902,3,经开区第八大街·交直流充电站1号,河南省郑州市经开区第八大街,15,00:00-24:00,2019/7/26
256233,928191,3,郑东新区金水东路·交直流充电站3号,河南省郑州市郑东新区金水东路,1,00:00-24:00,2019/7/26
260408,481066,2,经开区航海东路·直流充电站2号,河南省郑州市经开区航海东路,2,00:00-24:00,2019/7/26
260781,202527,3,中原区建设路·交直流充电站2号,河南省郑州市中原区建设路,2,00:00-24:00,2019/7/26
265601,878393,1,中原区西三环·交流充电站1号,河南省郑州市中原区西三环,1,00:00-24:00,2019/7/26
280221,976902,3,经开区第八大街·交直流充电站2号,河南省郑州市经开区第八大街,8,00:00-24:00,2019/7/26
280415,399399,2,惠济区文化路·直流充电站1号,河南省郑州市惠济区文化路,2,00:00-24:00,2019/7/26
286084,648339,2,高新区瑞达路·直流充电站1号,河南省郑州市高新区瑞达路,1,00:00-24:00,2019/7/26
288445,978130,2,航空港区长安路·直流充电站1号,河南省郑州市航空港区长安路,1,00:00-24:00,2019/7/26
300866,310085,1,管城区紫荆山路·交流充电站1号,河南省郑州市管城区紫荆山路,1,00:00-24:00,2019/7/26
349635,503205,3,上街区中心路·交直流充电站2号,河南省郑州市上街区中心路,2,00:00-24:00,2019/7/26
355208,976902,3,经开区第八大街·交直流充电站3号,河南省郑州市经开区第八大街,6,00:00-24:00,2019/7/26
366832,978130,2,航空港区长安路·直流充电站2号,河南省郑州市航空港区长安路,9,00:00-24:00,2019/7/26
369001,493904,1,航空港区迎宾大道·交流充电站1号,河南省郑州市航空港区迎宾大道,40,00:00-24:00,2019/7/26
371335,461655,3,高新区科学大道·交直流充电站2号,河南省郑州市高新区科学大道,11,00:00-24:00,2019/7/26
386940,814002,2,金水区北三环·直流充电站2号,河南省郑州市金水区北三环,1,00:00-24:00,2019/7/26
404112,399399,2,惠济区文化路·直流充电站2号,河南省郑州市惠济区文化路,1,00:00-24:00,2019/7/26
405157,976902,3,经开区第八大街·交直流充电站4号,河南省郑州市经开区第八大街,7,00:00-24:00,2019/7/26
414088,566549,3,二七区嵩山路·交直流充电站2号,河南省郑州市二七区嵩山路,8,00:00-24:00,2019/7/26
425476,928191,3,郑东新区金水东路·交直流充电站4号,河南省郑州市郑东新区金水东路,5,00:00-24:00,2019/7/26
431796,461655,3,高新区科学大道·交直流充电站3号,河南省郑州市高新区科学大道,3,00:00-24:00,2019/7/26
445920,125372,2,金水区花园路·直流充电站1号,河南省郑州市金水区花园路,5,00:00-24:00,2019/7/26
451479,648339,2,高新区瑞达路·直流充电站2号,河南省郑州市高新区瑞达路,1,00:00-24:00,2019/7/26
474204,481066,2,经开区航海东路·直流充电站3号,河南省郑州市经开区航海东路,36,00:00-24:00,2019/7/26
481613,648339,2,高新区瑞达路·直流充电站3号,河南省郑州市高新区瑞达路,1,00:00-24:00,2019/7/26
488364,648339,2,高新区瑞达路·直流充电站4号,河南省郑州市高新区瑞达路,1,00:00-24:00,2019/7/26
489543,868085,3,二七区淮河路·交直流充电站1号,河南省郑州市二七区淮河路,8,00:00-24:00,2019/7/26
500856,976902,3,经开区第八大街·交直流充电站5号,河南省郑州市经开区第八大街,2,00:00-24:00,2019/7/26
507660,202527,3,中原区建设路·交直流充电站3号,河南省郑州市中原区建设路,5,00:00-24:00,2019/7/26
514669,566549,3,二七区嵩山路·交直流充电站3号,河南省郑州市二七区嵩山路,6,00:00-24:00,2019/7/26
517464,144857,2,二七区大学路·直流充电站1号,河南省郑州市二七区大学路,5,00:00-24:00,2019/7/26
540225,648339,2,高新区瑞达路·直流充电站5号,河南省郑州市高新区瑞达路,2,00:00-24:00,2019/7/26
549414,461655,3,高新区科学大道·交直流充电站4号,河南省郑州市高新区科学大道,5,00:00-24:00,2019/7/26
562656,481066,2,经开区航海东路·直流充电站4号,河南省郑州市经开区航海东路,6,00:00-24:00,2019/7/26
568071,144857,2,二七区大学路·直流充电站2号,河南省郑州市二七区大学路,6,00:00-24:00,2019/7/26
569886,868085,3,二七区淮河路·交直流充电站2号,河南省郑州市二七区淮河路,9,00:00-24:00,2019/7/26
569889,461655,3,高新区科学大道·交直流充电站5号,河南省郑州市高新区科学大道,5,00:00-24:00,2019/7/26
572249,144857,2,二七区大学路·直流充电站3号,河南省郑州市二七区大学路,4,00:00-24:00,2019/7/26
575971,948590,4,高新区梧桐街·超充充电站2号,河南省郑州市高新区梧桐街,5,00:00-24:00,2019/7/26
582873,461655,3,高新区科学大道·交直流充电站6号,河南省郑州市高新区科学大道,4,00:00-24:00,2019/7/26
